YEAR,MONTH,DAY,EXCH
2015,4,3,1.0990
2015,4,6,1.1008
2015,4,7,1.0850
2015,4,8,1.0818
2015,4,9,1.0671
2015,4,10,1.0598
2015,4,13,1.0582
2015,4,14,1.0672
2015,4,15,1.0596
2015,4,16,1.0742
2015,4,17,1.0780
2015,4,20,1.0763
2015,4,21,1.0758
2015,4,22,1.0729
2015,4,23,1.0803
2015,4,24,1.0876
2015,4,27,1.0892
2015,4,28,1.0979
2015,4,29,1.1174
2015,4,30,1.1162
2015,5,1,1.1194
2015,5,4,1.1145
2015,5,5,1.1174
2015,5,6,1.1345
2015,5,7,1.1283
2015,5,8,1.1241
2015,5,11,1.1142
2015,5,12,1.1240
2015,5,13,1.1372
2015,5,14,1.1368
2015,5,15,1.1428
2015,5,18,1.1354
2015,5,19,1.1151
2015,5,20,1.1079
2015,5,21,1.1126
2015,5,22,1.1033
2015,5,26,1.0876
2015,5,27,1.0888
2015,5,28,1.0914
2015,5,29,1.0994
2015,6,1,1.0913
2015,6,2,1.1130
2015,6,3,1.1285
2015,6,4,1.1271
2015,6,5,1.1108
2015,6,8,1.1232
2015,6,9,1.1284
2015,6,10,1.1307
2015,6,11,1.1236
2015,6,12,1.1278
2015,6,15,1.1266
2015,6,16,1.1238
2015,6,17,1.1244
2015,6,18,1.1404
2015,6,19,1.1335
2015,6,22,1.1378
2015,6,23,1.1190
2015,6,24,1.1178
2015,6,25,1.1196
2015,6,26,1.1156
2015,6,29,1.1180
2015,6,30,1.1154
2015,7,1,1.1084
2015,7,2,1.1090
2015,7,6,1.1076
2015,7,7,1.0952
2015,7,8,1.1072
2015,7,9,1.1025
2015,7,10,1.1150
2015,7,13,1.1020
2015,7,14,1.1015
2015,7,15,1.0965
2015,7,16,1.0898
2015,7,17,1.0848
2015,7,20,1.0850
2015,7,21,1.0927
2015,7,22,1.0884
2015,7,23,1.0976
2015,7,24,1.0976
2015,7,27,1.1112
2015,7,28,1.1055
2015,7,29,1.1026
2015,7,30,1.0914
2015,7,31,1.1028
2015,8,3,1.0962
2015,8,4,1.0953
2015,8,5,1.0868
2015,8,6,1.0922
2015,8,7,1.0958
2015,8,10,1.0994
2015,8,11,1.1042
2015,8,12,1.1198
2015,8,13,1.1144
2015,8,14,1.1110
2015,8,17,1.1078
2015,8,18,1.1028
2015,8,19,1.1061
2015,8,20,1.1200
2015,8,21,1.1356
2015,8,24,1.1580
2015,8,25,1.1410
2015,8,26,1.1390
2015,8,27,1.1239
2015,8,28,1.1172
2015,8,31,1.1194
2015,9,1,1.1263
2015,9,2,1.1242
2015,9,3,1.1104
2015,9,4,1.1117
2015,9,8,1.1182
2015,9,9,1.1165
2015,9,10,1.1262
2015,9,11,1.1338
2015,9,14,1.1307
2015,9,15,1.1260
2015,9,16,1.1304
2015,9,17,1.1312
2015,9,18,1.1358
2015,9,21,1.1204
2015,9,22,1.1133
2015,9,23,1.1160
2015,9,24,1.1252
2015,9,25,1.1192
2015,9,28,1.1236
2015,9,29,1.1246
2015,9,30,1.1162
2015,10,1,1.1200
2015,10,2,1.1276
2015,10,5,1.1200
2015,10,6,1.1266
2015,10,7,1.1249
2015,10,8,1.1282
2015,10,9,1.1363
2015,10,13,1.1382
2015,10,14,1.1437
2015,10,15,1.1418
2015,10,16,1.1360
