Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
AAIT,iShares MSCI All Country Asia Information Technology Index Fund,iShares MSCI All Country Asia Information Technology Index Fund,G,N,N,100.0
AAL,"American Airlines Group, Inc.","American Airlines Group, Inc. - Common Stock",Q,N,N,100.0
AAME,Atlantic American Corporation,Atlantic American Corporation - Common Stock,G,N,N,100.0
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. - Common Stock",G,N,N,100.0
AAON,"AAON, Inc.","AAON, Inc. - Common Stock",Q,N,N,100.0
AAPL,Apple Inc.,Apple Inc. - Common Stock,Q,N,N,100.0
AAVL,"Avalanche Biotechnologies, Inc.","Avalanche Biotechnologies, Inc. - Common Stock",G,N,N,100.0
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100.0
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100.0
ABAC,"Aoxin Tianli Group, Inc.","Aoxin Tianli Group, Inc. - Common Shares",S,N,N,100.0
ABAX,"ABAXIS, Inc.","ABAXIS, Inc. - Common Stock",Q,N,N,100.0
ABCB,Ameris Bancorp,Ameris Bancorp - Common Stock,Q,N,N,100.0
ABCD,"Cambium Learning Group, Inc.","Cambium Learning Group, Inc. - Common Stock",S,N,N,100.0
ABCO,The Advisory Board Company,The Advisory Board Company - Common Stock,Q,N,N,100.0
ABCW,Anchor BanCorp Wisconsin Inc.,Anchor BanCorp Wisconsin Inc. - Common Stock,Q,N,N,100.0
ABDC,Alcentra Capital Corp.,Alcentra Capital Corp. - Common Stock,Q,N,N,100.0
ABGB,"Abengoa, S.A.","Abengoa, S.A. - American Depositary Shares",Q,N,N,100.0
ABIO,"ARCA biopharma, Inc.","ARCA biopharma, Inc. - Common Stock",S,N,N,100.0
ABMD,"ABIOMED, Inc.","ABIOMED, Inc. - Common Stock",Q,N,N,100.0
ABTL,Autobytel Inc.,Autobytel Inc. - Common Stock,S,N,N,100.0
ABY,Abengoa Yield plc,Abengoa Yield plc - Ordinary Shares,Q,N,N,100.0
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100.0
ACAS,"American Capital, Ltd.","American Capital, Ltd. - Common Stock",Q,N,N,100.0
ACAT,Arctic Cat Inc.,Arctic Cat Inc. - Common Stock,Q,N,N,100.0
ACET,Aceto Corporation,Aceto Corporation - Common Stock,Q,N,N,100.0
ACFC,Atlantic Coast Financial Corporation,Atlantic Coast Financial Corporation - Common Stock,G,N,N,100.0
ACFN,"Acorn Energy, Inc.","Acorn Energy, Inc. - Common Stock",G,N,N,100.0
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Common Stock,Q,N,N,100.0
ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100.0
ACHN,"Achillion Pharmaceuticals, Inc.","Achillion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc. - Common Stock",Q,N,N,100.0
ACLS,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. - Common Stock",Q,N,N,100.0
ACNB,ACNB Corporation,ACNB Corporation - Common Stock,S,N,N,100.0
ACOR,"Acorda Therapeutics, Inc.","Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100.0
ACPW,"Active Power, Inc.","Active Power, Inc. - Common Stock",S,N,N,100.0
ACRX,"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
ACSF,"American Capital Senior Floating, Ltd.","American Capital Senior Floating, Ltd. - Common Stock",Q,N,N,100.0
ACST,"Acasti Pharma, Inc.","Acasti Pharma, Inc. - Class A Common Stock",S,N,D,100.0
ACTA,Actua Corporation,Actua Corporation - Common Stock,Q,N,N,100.0
ACTG,Acacia Research Corporation,Acacia Research Corporation - Common Stock,Q,N,N,100.0
ACTS,"Actions Semiconductor Co., Ltd.","Actions Semiconductor Co., Ltd. - American Depositary Shares, each representing Six Ordinary Shares",Q,N,N,100.0
ACUR,"Acura Pharmaceuticals, Inc.","Acura Pharmaceuticals, Inc. - Common Stock",S,N,D,100.0
ACWI,iShares MSCI ACWI Index Fund,iShares MSCI ACWI Index Fund,G,N,N,100.0
ACWX,iShares MSCI ACWI ex US Index Fund,iShares MSCI ACWI ex US Index Fund,G,N,N,100.0
ACXM,Acxiom Corporation,Acxiom Corporation - Common Stock,Q,N,N,100.0
ADAT,Authentidate Holding Corp.,Authentidate Holding Corp. - Common Stock,S,N,N,100.0
ADBE,Adobe Systems Incorporated,Adobe Systems Incorporated - Common Stock,Q,N,N,100.0
ADEP,"Adept Technology, Inc.","Adept Technology, Inc. - Common Stock",S,N,N,100.0
ADES,"Advanced Emissions Solutions, Inc.","Advanced Emissions Solutions, Inc. - Common Stock",S,N,E,100.0
ADHD,Alcobra Ltd.,Alcobra Ltd. - Ordinary Shares,G,N,N,100.0
ADI,"Analog Devices, Inc.","Analog Devices, Inc. - Common Stock",Q,N,N,100.0
ADMA,ADMA Biologics Inc,ADMA Biologics Inc - Common Stock,S,N,N,100.0
ADMP,Adamis Pharmaceuticals Corporation,Adamis Pharmaceuticals Corporation - Common Stock,S,N,N,100.0
ADMS,"Adamas Pharmaceuticals, Inc.","Adamas Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
ADNC,"Audience, Inc.","Audience, Inc. - Common Stock",Q,N,N,100.0
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock",Q,N,N,100.0
ADRA,BLDRS Asia 50 ADR Index Fund,BLDRS Asia 50 ADR Index Fund,G,N,N,100.0
ADRD,BLDRS Developed Markets 100 ADR Index Fund,BLDRS Developed Markets 100 ADR Index Fund,G,N,N,100.0
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,BLDRS Emerging Markets 50 ADR Index Fund,G,N,N,100.0
ADRU,BLDRS Europe 100 ADR Index Fund,BLDRS Europe 100 ADR Index Fund,G,N,N,100.0
ADSK,"Autodesk, Inc.","Autodesk, Inc. - Common Stock",Q,N,N,100.0
ADTN,"ADTRAN, Inc.","ADTRAN, Inc. - Common Stock",Q,N,N,100.0
ADUS,Addus HomeCare Corporation,Addus HomeCare Corporation - Common Stock,Q,N,N,100.0
ADVS,"Advent Software, Inc.","Advent Software, Inc. - Common Stock",Q,N,N,100.0
ADXS,"Advaxis, Inc.","Advaxis, Inc. - Common Stock",S,N,N,100.0
ADXSW,"Advaxis, Inc.","Advaxis, Inc. - Warrants",S,N,N,100.0
AEGN,Aegion Corp,Aegion Corp - Class A Common Stock,Q,N,N,100.0
AEGR,"Aegerion Pharmaceuticals, Inc.","Aegerion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
AEHR,Aehr Test Systems,Aehr Test Systems - Common Stock,S,N,N,100.0
AEIS,"Advanced Energy Industries, Inc.","Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100.0
AEPI,AEP Industries Inc.,AEP Industries Inc. - Common Stock,Q,N,N,100.0
AERI,"Aerie Pharmaceuticals, Inc.","Aerie Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
AETI,"American Electric Technologies, Inc.","American Electric Technologies, Inc. - Common Stock",S,N,N,100.0
AEY,"ADDvantage Technologies Group, Inc.","ADDvantage Technologies Group, Inc. - Common Stock",G,N,N,100.0
AEZS,AEterna Zentaris Inc.,AEterna Zentaris Inc. - Common Stock,S,N,D,100.0
AFAM,Almost Family Inc,Almost Family Inc - Common Stock,Q,N,N,100.0
AFCB,Athens Bancshares Corporation,Athens Bancshares Corporation - Common Stock,S,N,N,100.0
AFFX,"Affymetrix, Inc.","Affymetrix, Inc. - Common Stock",Q,N,N,100.0
