DATE,DEXUSEU
2015-04-03T21:00:00+00:00,1.0990
2015-04-06T21:00:00+00:00,1.1008
2015-04-07T21:00:00+00:00,1.0850
2015-04-08T21:00:00+00:00,1.0818
2015-04-09T21:00:00+00:00,1.0671
2015-04-10T21:00:00+00:00,1.0598
2015-04-13T21:00:00+00:00,1.0582
2015-04-14T21:00:00+00:00,1.0672
2015-04-15T21:00:00+00:00,1.0596
2015-04-16T21:00:00+00:00,1.0742
2015-04-17T21:00:00+00:00,1.0780
2015-04-20T21:00:00+00:00,1.0763
2015-04-21T21:00:00+00:00,1.0758
2015-04-22T21:00:00+00:00,1.0729
2015-04-23T21:00:00+00:00,1.0803
2015-04-24T21:00:00+00:00,1.0876
2015-04-27T21:00:00+00:00,1.0892
2015-04-28T21:00:00+00:00,1.0979
2015-04-29T21:00:00+00:00,1.1174
2015-04-30T21:00:00+00:00,1.1162
2015-05-01T21:00:00+00:00,1.1194
2015-05-04T21:00:00+00:00,1.1145
2015-05-05T21:00:00+00:00,1.1174
2015-05-06T21:00:00+00:00,1.1345
2015-05-07T21:00:00+00:00,1.1283
2015-05-08T21:00:00+00:00,1.1241
2015-05-11T21:00:00+00:00,1.1142
2015-05-12T21:00:00+00:00,1.1240
2015-05-13T21:00:00+00:00,1.1372
2015-05-14T21:00:00+00:00,1.1368
2015-05-15T21:00:00+00:00,1.1428
2015-05-18T21:00:00+00:00,1.1354
2015-05-19T21:00:00+00:00,1.1151
2015-05-20T21:00:00+00:00,1.1079
2015-05-21T21:00:00+00:00,1.1126
2015-05-22T21:00:00+00:00,1.1033
2015-05-25T21:00:00+00:00,.
2015-05-26T21:00:00+00:00,1.0876
2015-05-27T21:00:00+00:00,1.0888
2015-05-28T21:00:00+00:00,1.0914
2015-05-29T21:00:00+00:00,1.0994
2015-06-01T21:00:00+00:00,1.0913
2015-06-02T21:00:00+00:00,1.1130
2015-06-03T21:00:00+00:00,1.1285
2015-06-04T21:00:00+00:00,1.1271
2015-06-05T21:00:00+00:00,1.1108
2015-06-08T21:00:00+00:00,1.1232
2015-06-09T21:00:00+00:00,1.1284
2015-06-10T21:00:00+00:00,1.1307
2015-06-11T21:00:00+00:00,1.1236
2015-06-12T21:00:00+00:00,1.1278
2015-06-15T21:00:00+00:00,1.1266
2015-06-16T21:00:00+00:00,1.1238
2015-06-17T21:00:00+00:00,1.1244
2015-06-18T21:00:00+00:00,1.1404
2015-06-19T21:00:00+00:00,1.1335
2015-06-22T21:00:00+00:00,1.1378
2015-06-23T21:00:00+00:00,1.1190
2015-06-24T21:00:00+00:00,1.1178
2015-06-25T21:00:00+00:00,1.1196
2015-06-26T21:00:00+00:00,1.1156
2015-06-29T21:00:00+00:00,1.1180
2015-06-30T21:00:00+00:00,1.1154
2015-07-01T21:00:00+00:00,1.1084
2015-07-02T21:00:00+00:00,1.1090
2015-07-03T21:00:00+00:00,.
2015-07-06T21:00:00+00:00,1.1076
2015-07-07T21:00:00+00:00,1.0952
2015-07-08T21:00:00+00:00,1.1072
2015-07-09T21:00:00+00:00,1.1025
2015-07-10T21:00:00+00:00,1.1150
2015-07-13T21:00:00+00:00,1.1020
2015-07-14T21:00:00+00:00,1.1015
2015-07-15T21:00:00+00:00,1.0965
2015-07-16T21:00:00+00:00,1.0898
2015-07-17T21:00:00+00:00,1.0848
2015-07-20T21:00:00+00:00,1.0850
