Symbol,Date, Close/Last, Volume, Open, High, Low
AAPL,2/12/21,135.37,60145130,134.35,135.53,133.6921
AMZN,2/12/21,3277.71,2335339,3250,3280.25,3233.31
GOOG,2/12/21,2104.11,855865,2090.25,2108.82,2083.13
MSFT,2/12/21,244.99,16561080,243.933,245.3,242.73
AAPL,2/11/21,135.13,64280030,135.9,136.39,133.77
AMZN,2/11/21,3262.13,2301417,3292,3292,3248.06
GOOG,2/11/21,2095.89,945650,2099.51,2102.03,2077.32
MSFT,2/11/21,244.49,15751060,244.78,245.15,242.15
AAPL,2/10/21,135.39,73046560,136.48,136.99,134.4
AMZN,2/10/21,3286.58,3151550,3314,3317.9548,3254
GOOG,2/10/21,2095.38,1135464,2094.21,2108.37,2063.09
MSFT,2/10/21,242.82,22186710,245,245.92,240.89
AAPL,2/9/21,136.01,76774210,136.62,137.877,135.85
AMZN,2/9/21,3305,2203526,3312.49,3338,3297.84
GOOG,2/9/21,2083.51,889850,2078.54,2105.13,2078.54
MSFT,2/9/21,243.77,23564950,241.87,244.76,241.38
AAPL,2/8/21,136.91,71297210,136.03,136.96,134.92
AMZN,2/8/21,3322.94,3257391,3358.5,3364.9999,3304
GOOG,2/8/21,2092.91,1242411,2105.91,2123.5469,2072
MSFT,2/8/21,242.47,22211930,243.15,243.68,240.81
AAPL,2/5/21,136.76,75693830,137.35,137.42,135.86
AMZN,2/5/21,3352.15,3620808,3319,3377,3302.71
GOOG,2/5/21,2098,1535135,2070,2102.51,2059.33
MSFT,2/5/21,242.2,18054750,242.23,243.28,240.42
AAPL,2/4/21,137.39,84183060,136.3,137.4,134.59
AMZN,2/4/21,3331,3670661,3330,3347,3277.75
GOOG,2/4/21,2062.37,1852329,2068.89,2078.55,2042.59
MSFT,2/4/21,242.01,25296100,242.66,243.2399,240.37
AAPL,2/3/21,133.94,89880940,135.76,135.77,133.61
AMZN,2/3/21,3312.53,7088781,3425.01,3434,3308.62
GOOG,2/3/21,2070.07,4118170,2073,2116.5,2018.38
MSFT,2/3/21,243,27158100,239.57,245.09,239.26
AAPL,2/2/21,134.99,83305370,135.73,136.31,134.61
AMZN,2/2/21,3380,7098637,3380,3427.74,3361.125
GOOG,2/2/21,1927.51,2273723,1922.56,1955.76,1914.49
MSFT,2/2/21,239.51,25916340,241.3,242.31,238.69
AAPL,2/1/21,134.14,106239800,133.75,135.38,130.93
AMZN,2/1/21,3342.88,4160212,3242.36,3350.26,3235.025
GOOG,2/1/21,1901.35,1602182,1853.57,1922.3918,1850.93
MSFT,2/1/21,239.65,33314190,235.06,242.5,232.43
AAPL,1/29/21,131.96,177523800,135.83,136.74,130.21
AMZN,1/29/21,3206.2,4293556,3230,3236.99,3184.55
GOOG,1/29/21,1835.74,1612552,1846.17,1857.28,1810.2
MSFT,1/29/21,231.96,42503140,235.99,238.02,231.35
AAPL,1/28/21,137.09,142621100,139.52,141.99,136.7
AMZN,1/28/21,3237.62,3149228,3235.04,3301.68,3228.69
GOOG,1/28/21,1863.11,1773138,1843.94,1898.83,1842.64
MSFT,1/28/21,238.93,49111160,235.61,242.64,235.09
AAPL,1/27/21,142.06,140843800,143.43,144.3,140.41
AMZN,1/27/21,3232.58,4660158,3341.49,3346.52,3207.08
GOOG,1/27/21,1830.79,2748292,1882.53,1890,1809
MSFT,1/27/21,232.9,69870640,238,240.44,230.14
AAPL,1/26/21,143.16,98390560,143.6,144.3,141.37
AMZN,1/26/21,3326.13,2955235,3296.356,3338,3282.87
GOOG,1/26/21,1917.24,1313139,1888.84,1925,1884.245
MSFT,1/26/21,232.33,49169600,231.86,234.18,230.08
AAPL,1/25/21,142.92,157611700,143.07,145.09,136.54
AMZN,1/25/21,3294,3749758,3328.5,3363.89,3243.1463
GOOG,1/25/21,1899.4,1927320,1920.67,1929.58,1867.53
MSFT,1/25/21,229.53,33152100,229.12,229.78,224.22
AAPL,1/22/21,139.07,114459400,136.28,139.85,135.02
AMZN,1/22/21,3292.23,2821914,3304.31,3321.91,3283.1644
GOOG,1/22/21,1901.05,1272232,1895.68,1910.95,1881.76
MSFT,1/22/21,225.95,30172660,227.08,230.07,225.8
AAPL,1/21/21,136.87,120529500,133.8,139.67,133.59
AMZN,1/21/21,3306.99,4945051,3293,3348.55,3289.5675
GOOG,1/21/21,1891.25,2063932,1898,1934.86,1887.11
MSFT,1/21/21,224.97,30749550,224.7,226.3,222.42
AAPL,1/20/21,132.03,104319500,128.66,132.49,128.55
AMZN,1/20/21,3263.38,5309835,3181.99,3279.8,3175
GOOG,1/20/21,1886.9,2490258,1831.46,1903.71,1825.53
MSFT,1/20/21,224.34,37777260,217.7,225.79,217.2908
AAPL,1/19/21,127.83,90757330,127.78,128.71,126.938
AMZN,1/19/21,3120.76,3305142,3107,3145,3096
GOOG,1/19/21,1790.86,1734614,1752.25,1809.275,1741.46
MSFT,1/19/21,216.44,30480860,213.75,216.98,212.63
AAPL,1/15/21,127.14,111598500,128.78,130.2242,127
AMZN,1/15/21,3104.25,4243995,3123.02,3142.545,3095.17
GOOG,1/15/21,1736.19,1342170,1738.19,1756,1721.55
MSFT,1/15/21,212.65,31746510,213.52,214.51,212.03
AAPL,1/14/21,128.91,90221760,130.8,131,128.76
AMZN,1/14/21,3127.47,3070919,3167.52,3177.9999,3120.59
GOOG,1/14/21,1740.18,1179477,1753.62,1775.01,1733.4
MSFT,1/14/21,213.02,29346740,215.91,217.46,212.74
AAPL,1/13/21,130.89,88636830,128.76,131.45,128.49
AMZN,1/13/21,3165.89,3321244,3128.44,3189.95,3122.08
GOOG,1/13/21,1754.4,1094131,1738.58,1765.035,1738.01
MSFT,1/13/21,216.34,20087080,214.02,216.76,213.9266
AAPL,1/12/21,128.8,91951150,128.5,129.69,126.86
AMZN,1/12/21,3120.83,3514582,3120,3142.1418,3086
GOOG,1/12/21,1746.55,1357691,1753.92,1778.04,1725.31
MSFT,1/12/21,214.93,23249340,216.5,217.1,213.3202
AAPL,1/11/21,128.98,100620900,129.19,130.17,128.5
AMZN,1/11/21,3114.21,3669095,3148.01,3156.3841,3110
GOOG,1/11/21,1766.72,1209735,1786.07,1794.315,1760.5201
MSFT,1/11/21,217.49,23047030,218.47,218.91,216.73
AAPL,1/8/21,132.05,105158200,132.43,132.63,130.23
AMZN,1/8/21,3182.7,3537744,3180,3190.64,3142.2
GOOG,1/8/21,1807.21,2051002,1787.98,1809.84,1773.535
MSFT,1/8/21,219.62,22956210,218.68,220.58,217.0261
AAPL,1/7/21,130.92,109578200,128.36,131.63,127.86
AMZN,1/7/21,3162.16,3514545,3157,3208.542,3155
GOOG,1/7/21,1787.25,2265022,1740.06,1788.4,1737.05
MSFT,1/7/21,218.29,27694480,214.04,219.34,213.71
AAPL,1/6/21,126.6,155088000,127.72,131.0499,126.382
AMZN,1/6/21,3138.38,4394815,3146.48,3197.509,3131.16
GOOG,1/6/21,1735.29,2602114,1702.63,1748,1699
MSFT,1/6/21,212.25,35930650,212.17,216.4899,211.94
AAPL,1/5/21,131.01,97664900,128.89,131.74,128.43
AMZN,1/5/21,3218.51,2655548,3166.01,3223.38,3165.06
GOOG,1/5/21,1740.92,1145347,1725,1747.67,1718.015
MSFT,1/5/21,217.9,23822950,217.26,218.52,215.7
AAPL,1/4/21,129.41,143301900,133.52,133.6116,126.76
AMZN,1/4/21,3186.63,4411449,3270,3272,3144.02
GOOG,1/4/21,1728.24,1901855,1757.54,1760.65,1707.85
MSFT,1/4/21,217.69,37130140,222.53,223,214.81
AAPL,12/31/20,132.69,99116590,134.08,134.74,131.72
AMZN,12/31/20,3256.93,2957206,3275,3282.9219,3241.2
GOOG,12/31/20,1751.88,1012240,1735.42,1758.93,1735.42
MSFT,12/31/20,222.42,20942130,221.7,223,219.68
AAPL,12/30/20,133.72,96452120,135.58,135.99,133.4
AMZN,12/30/20,3285.85,3209310,3341,3342.1,3282.47
GOOG,12/30/20,1739.52,1306130,1762.01,1765.095,1725.6
MSFT,12/30/20,221.68,20272340,225.23,225.63,221.47
AAPL,12/29/20,134.87,121047300,138.05,138.789,134.3409
AMZN,12/29/20,3322,4872933,3309.94,3350.65,3281.223
GOOG,12/29/20,1758.72,1299395,1787.79,1792.44,1756.09
MSFT,12/29/20,224.15,17403210,226.31,227.18,223.58
AAPL,12/28/20,136.69,124486200,133.99,137.34,133.51
AMZN,12/28/20,3283.96,5686787,3194,3304,3172.69
GOOG,12/28/20,1776.09,1393033,1751.635,1790.7276,1746.335
MSFT,12/28/20,224.96,17933500,224.45,226.03,223.02
AAPL,12/24/20,131.97,54930060,131.32,133.46,131.1
AMZN,12/24/20,3172.69,1451917,3193.9,3202,3169
GOOG,12/24/20,1738.85,346753,1735,1746,1729.11
MSFT,12/24/20,222.75,10550570,221.42,223.61,221.2
AAPL,12/23/20,130.96,88223690,132.16,132.43,130.78
AMZN,12/23/20,3185.27,2093787,3205,3210.13,3184.17
GOOG,12/23/20,1732.38,1033917,1728.11,1747.99,1725.04
MSFT,12/23/20,221.02,18699640,223.11,223.5589,220.8
AAPL,12/22/20,131.88,169351800,131.61,134.405,129.65
AMZN,12/22/20,3206.52,2381781,3202.843,3222,3180.08
GOOG,12/22/20,1723.5,938346,1734.43,1737.405,1712.575
MSFT,12/22/20,223.94,22643400,222.69,225.63,221.85
AAPL,12/21/20,128.23,121251600,125.02,128.31,123.449
AMZN,12/21/20,3206.18,3836846,3200.01,3226.9666,3166
GOOG,12/21/20,1739.37,1828378,1713.51,1740.85,1699
MSFT,12/21/20,222.59,37181890,217.55,224,217.2801
AAPL,12/18/20,126.655,192541500,128.96,129.1,126.12
AMZN,12/18/20,3201.65,5995713,3243.99,3249.42,3171.6
GOOG,12/18/20,1731.01,4016353,1754.18,1755.11,1720.22
MSFT,12/18/20,218.59,63354920,218.59,219.69,216.02
AAPL,12/17/20,128.7,94359810,128.9,129.58,128.045
AMZN,12/17/20,3236.08,3474347,3250,3263.51,3221
GOOG,12/17/20,1747.9,1624744,1768.51,1771.7836,1738.66
MSFT,12/17/20,219.42,32515780,219.87,220.89,217.92
AAPL,12/16/20,127.81,98208590,127.41,128.37,126.56
AMZN,12/16/20,3240.96,4427616,3176.01,3247,3163.68
GOOG,12/16/20,1763,1513543,1772.88,1773,1756.08
MSFT,12/16/20,219.28,35023250,214.75,220.11,214.72
AAPL,12/15/20,127.88,157572300,124.34,127.9,124.13
AMZN,12/15/20,3165.12,3323686,3181.01,3188.4999,3130.49
GOOG,12/15/20,1767.77,1482261,1764.42,1771.42,1749.95
MSFT,12/15/20,214.13,27018110,215.165,215.42,212.24
AAPL,12/14/20,121.78,79075990,122.6,123.35,121.54
AMZN,12/14/20,3156.97,4155794,3143,3190.47,3126
GOOG,12/14/20,1760.06,1600173,1775,1797.39,1757.215
MSFT,12/14/20,214.2,28798380,213.1,216.21,212.88
AAPL,12/11/20,122.41,86939790,122.43,122.76,120.55
AMZN,12/11/20,3116.42,3064695,3096.66,3118.67,3072.82
GOOG,12/11/20,1781.77,1220651,1763.06,1784.45,1760
MSFT,12/11/20,213.26,30979440,210.05,213.32,209.11
AAPL,12/10/20,123.24,81312170,120.5,123.87,120.15
AMZN,12/10/20,3101.49,3030186,3088.99,3142.1,3076
GOOG,12/10/20,1775.33,1362848,1769.8,1781.31,1740.32
MSFT,12/10/20,210.52,26467020,211.77,213.08,210.36
AAPL,12/9/20,121.78,115089200,124.53,125.95,121
AMZN,12/9/20,3104.2,4100836,3167.89,3174.43,3088
GOOG,12/9/20,1784.13,1507558,1812.01,1834.27,1767.81
MSFT,12/9/20,211.8,32440600,215.16,215.225,211.214
AAPL,12/8/20,124.38,82225510,124.37,124.98,123.09
AMZN,12/8/20,3177.29,3286303,3158.9,3184.13,3120.02
GOOG,12/8/20,1818.55,1096319,1810.1,1821.9,1796.2047
MSFT,12/8/20,216.01,23284090,213.97,216.95,212.89
AAPL,12/7/20,123.75,86711990,122.31,124.57,122.25
AMZN,12/7/20,3158,2751316,3156.48,3180.76,3141.69
GOOG,12/7/20,1819.48,1320946,1819,1832.37,1805.78
MSFT,12/7/20,214.29,24620000,214.37,215.54,212.99
AAPL,12/4/20,122.25,78260420,122.6,122.8608,121.52
AMZN,12/4/20,3162.58,2913611,3198.21,3198.21,3158.76
GOOG,12/4/20,1827.99,1378166,1824.52,1833.16,1816.99
MSFT,12/4/20,214.36,24666040,214.22,215.38,213.18
AAPL,12/3/20,122.94,78967630,123.52,123.78,122.21
AMZN,12/3/20,3186.73,2892039,3205.46,3228.64,3181.31
GOOG,12/3/20,1826.77,1227298,1824.01,1847.2,1822.65
MSFT,12/3/20,214.24,25120920,214.61,216.3757,213.65
