Symbol, Date, Close, Volume, Open, High, Low
AAPL, 10/29/2020, 115.32, 146129200, 112.37, 116.93, 112.2
AAPL, 10/28/2020, 111.2, 143937800, 115.05, 115.43, 111.1
AAPL, 10/27/2020, 116.6, 92276770, 115.49, 117.28, 114.5399
AAPL, 10/26/2020, 115.05, 111850700, 114.01, 116.55, 112.88
AAPL, 10/23/2020, 115.04, 82572650, 116.39, 116.55, 114.28
AAPL, 10/22/2020, 115.75, 101988000, 117.45, 118.04, 114.59
AAPL, 10/21/2020, 116.87, 89945980, 116.67, 118.705, 116.45
AAPL, 10/20/2020, 117.51, 124423700, 116.2, 118.98, 115.63
AAPL, 10/19/2020, 115.98, 120639300, 119.96, 120.419, 115.66
AAPL, 10/16/2020, 119.02, 115393800, 121.28, 121.548, 118.81
AAPL, 10/15/2020, 120.71, 112559200, 118.72, 121.2, 118.15
AAPL, 10/14/2020, 121.19, 151062300, 121, 123.03, 119.62
AAPL, 10/13/2020, 121.1, 262330500, 125.27, 125.39, 119.65
AAPL, 10/12/2020, 124.4, 240226800, 120.06, 125.18, 119.2845
AAPL, 10/09/2020, 116.97, 100506900, 115.28, 117, 114.92
AAPL, 10/08/2020, 114.97, 83477150, 116.25, 116.4, 114.5901
AAPL, 10/07/2020, 115.08, 96848990, 114.62, 115.55, 114.13
AAPL, 10/06/2020, 113.16, 161498200, 115.7, 116.12, 112.25
AAPL, 10/05/2020, 116.5, 106243800, 113.91, 116.65, 113.55
AAPL, 10/02/2020, 113.02, 144712000, 112.89, 115.37, 112.22
AAPL, 10/01/2020, 116.79, 116120400, 117.64, 117.72, 115.83
AAPL, 09/30/2020, 115.81, 142675200, 113.79, 117.26, 113.62
AAPL, 09/29/2020, 114.09, 100060500, 114.55, 115.31, 113.57
