t,x
0.092,14.765674972872079
0.2,20.259226923447223
0.296,25.246364712175524
0.39,28.59196014284041
0.494,35.5838751542487
0.605,39.92405609554009
0.699,44.900143003396344
0.806,50.111998705949176
0.89,55.33744839374389
1.003,61.13682148020512
1.109,64.5004524657241
1.195,69.43382286277865
1.304,75.21429131416473
1.394,80.68024464266546
1.51,85.69045993029255
1.596,90.67365382390035
1.699,94.26145999596629
1.801,100.1501806890637
1.893,104.02236089943838
2.006,110.57471384341925
2.098,114.10017544334872
2.193,120.51135990363724
2.302,125.75356699020317
2.402,129.9848906541477
2.508,135.67840981521636
2.599,139.99229760200282
2.691,145.23099677011123
2.799,149.00349744583
2.893,155.49635992161282
2.992,158.88764234748376
3.11,164.85985880020678
3.196,168.9285892684912
3.297,175.05784410369083
3.403,180.14110291795092
3.508,185.67137343088842
3.606,189.5103768410742
3.695,195.08825597002667
3.807,200.3912029495062
3.909,205.5994160367691
4.008,210.03909338865586
4.092,214.89340700145732
4.195,219.0194782671354
4.308,225.7078797621994
4.394,230.00267066063859
4.495,234.45077449519394
4.599,240.0494003382387
4.705,244.7759953488627
4.792,249.47567519784653
4.9,255.69959529115064
4.999,259.9121756203331
5.104,264.4652490087814
5.203,271.06968884443165
5.301,274.2438815044272
5.409,280.51583467727727
5.5,285.1980402823528
5.6,290.06115615654596
5.706,295.39807651038325
5.804,299.75145571440345
5.892,303.81171123098665
6.0,310.4230380735074
6.102,314.87986213573475
6.207,319.76477201300037
6.298,325.33122102463204
6.409,330.33498759967193
6.505,336.15301070754094
6.608,339.6475615987411
6.702,345.21891028655386
6.796,349.54352032536843
6.901,356.04704049488873
7.0,360.6234150837835
7.107,365.54797004355794
7.198,369.5383579034627
7.291,374.65474628201645
7.392,379.451597982914
7.507,384.7116364547615
7.61,389.62234341709893
7.708,394.7206816321832
7.808,399.5664665006217
7.895,404.1149352068449
8.006,410.8428090736998
8.093,414.65970465943377
8.205,419.4318816190822
8.291,425.0751073848335
8.394,429.0974132851946
8.492,435.4423333270774
8.598,439.1818683482232
8.705,445.18364086896224
8.803,450.6665278007753
8.905,455.3163546862087
9.002,460.1406320266459
9.096,465.5588987264332
9.193,469.3194056327499
9.307,476.15064544937627
9.393,478.6814017283073
9.5,484.098909523116
9.607,490.9238724774915
9.702,495.84696538915017
9.796,500.0896641383723
9.9,504.17430338283964
9.992,508.75450801856044
